TransactionID,Amount,Status,Account
T10840,2973,Failed,A156
T10145,INVALID,Failed,A198
T10004,3778,INVALID,A104
T10575,1479,INVALID,A139
T10138,1536,INVALID,A146
T10114,INVALID,Approved,A138
T10567,INVALID,Approved,A179
T10280,723,Failed,A187
T10112,4178,INVALID,A194
T10707,3180,INVALID,A132
T10412,284,INVALID,A165
T10160,4385,INVALID,A138
T10144,INVALID,Failed,A165
T10237,1510,Approved,A129
T10009,1693,INVALID,A172
T10989,4311,INVALID,A200
T10904,1901,INVALID,A122
T10110,1973,Approved,A126
T10106,2408,Approved,A171
T10557,1620,Approved,A144
T10424,379,Approved,A185
T10934,2937,INVALID,A151
T10968,4414,Failed,A137
T10196,3619,INVALID,A169
T10066,2263,Approved,A178
T10154,4190,Failed,A108
T10298,3024,Failed,A117
T10660,1325,Failed,A107
T10554,,INVALID,A165
T10264,1953,Approved,A182
T10775,3102,Failed,A158
T10199,1535,Approved,A145
T10400,3971,Failed,A194
T10464,3391,Failed,A103
T10380,4640,Failed,A188
T10772,605,Failed,A120
T10396,628,Approved,A170
T10178,4495,Approved,A124
T10457,2126,INVALID,A161
T10233,1744,INVALID,A142
T10814,2425,Approved,A131
T10603,830,Approved,A105
T10710,2795,INVALID,A173
T10894,1915,Failed,A155
T10905,4537,INVALID,A135
T10728,2006,INVALID,A152
T10493,3396,Approved,A150
T10416,1136,INVALID,A163
T10795,878,Approved,A150
T10378,3461,Failed,A140
