TransactionID,Amount,Status,Account
T10028,205,INVALID,A143
T10790,3691,Approved,A135
T10218,4263,INVALID,A149
T10965,1355,Failed,A110
T10341,4374,INVALID,A102
T10029,1015,Approved,A190
T10654,3963,INVALID,A127
T10983,4599,INVALID,A136
T10005,2775,Approved,A154
T10990,3714,INVALID,A139
T10875,4973,Failed,A180
T10614,2237,Approved,A195
T10174,3773,INVALID,A161
T10030,3615,INVALID,A119
T10548,1712,INVALID,A196
T10437,2159,INVALID,A117
T10046,3220,INVALID,A116
T10579,4006,Approved,A190
T10440,3296,Approved,A172
T10513,2651,Failed,A169
T10085,2962,Approved,A164
T10985,2222,Approved,A129
T10343,4242,Approved,A182
T10513,182,INVALID,A153
T10759,4433,Approved,A105
T10633,2781,Failed,A158
T10953,956,Failed,A120
T10856,INVALID,INVALID,A140
T10837,2763,INVALID,A169
T10233,3759,INVALID,A130
T10872,INVALID,Approved,A149
T10296,2502,Approved,A114
T10184,3340,INVALID,A177
T10374,4230,Failed,A190
T10380,4835,INVALID,A166
T10580,1993,INVALID,A124
T10585,1017,INVALID,A197
T10886,1470,Failed,A112
T10198,2806,Approved,A127
T10590,2264,INVALID,A168
T10161,1222,Failed,A129
T10663,2624,INVALID,A121
T10338,3394,INVALID,A185
T10429,1256,Failed,A136
T10161,2474,Approved,A133
T10218,2533,Failed,A105
T10375,960,INVALID,A130
T10812,101,Failed,A115
T10560,911,Approved,A134
T10040,3635,Approved,A146
