TransactionID,Amount,Status,Account
T001,4550,Approved,A004
T002,710,Approved,A001
T003,3349,Failed,A001
T004,4200,Failed,A004
T005,4401,Approved,A004
T006,652,Approved,A005
T007,4868,Approved,A003
T008,2704,Approved,A002
T009,4986,Failed,A005
T010,4333,Approved,A002
T011,1966,Failed,A002
T012,1528,Failed,A005
T013,4613,Approved,A003
T014,4541,Approved,A001
T015,3211,Failed,A001
T016,4665,Failed,A004
T017,1253,Approved,A002
T018,1579,Failed,A004
T019,1071,Failed,A004
T020,982,Failed,A004
T021,2253,Approved,A005
T022,1370,Failed,A005
T023,4719,Approved,A001
T024,591,Approved,A002
T025,4047,Approved,A005
T026,820,Approved,A002
T027,1177,Failed,A003
T028,3953,Failed,A005
T029,3535,Approved,A001
T030,727,Approved,A004
T031,1045,Approved,A001
T032,4332,Approved,A002
T033,4925,Failed,A001
T034,3708,Approved,A001
T035,2062,Approved,A005
T036,1395,Approved,A004
T037,2948,Approved,A004
T038,2530,Failed,A004
T039,3512,Approved,A001
T040,1346,Failed,A005
T041,982,Failed,A003
T042,4642,Approved,A001
T043,2868,Approved,A004
T044,1623,Approved,A001
T045,1380,Approved,A003
T046,1789,Failed,A001
T047,1374,Approved,A004
T048,3276,Approved,A003
T049,3885,Approved,A003
T050,2354,Failed,A005
